Countries and areas,Under-5 mortality rate (U5MR) 1990,Under-5 mortality rate (U5MR) 2011,U5MR male 2011,U5MR female 2011,Infant mortality rate (under 1) 1990,Infant mortality rate (under 1) 2011,Neonatal  mortality  rate 2011,Total population (thousands) 2011,Annual no. of births (thousands) 2011
Colombia,34.3,17.7,19.5,15.8,27.8,15.4,11.2,46927.125,910.296
Comoros,121.7,79.3,84.6,73.8,85.7,58.8,31.6,753.943,27.759
Congo,118.8,98.8,103.3,94.1,75.1,63.8,31.7,4139.748,144.632
Cook Islands,19.1,9.5,10.7,8.2,16.4,8.1,5,20.414,_
Costa Rica,17.2,10.1,11.1,9.1,14.5,8.6,6.1,4726.575,73.376
C�te d'Ivoire,151.4,114.9,124.6,104.9,104,81.2,41.2,20152.894,678.778
Croatia,12.9,5.1,5.7,4.5,11.1,4.4,3.3,4395.56,42.965
Cuba,13.3,5.8,6.3,5.2,10.6,4.5,2.8,11253.665,109.642
Cyprus,11,3.1,3.4,2.7,9.5,2.6,1.4,1116.564,12.928
Czech Republic,14.3,3.9,4.3,3.5,12.6,3.2,2.3,10534.293,115.686
Democratic People's Republic of Korea,45,33.2,34.8,31.6,22.9,26.3,17.5,24451.285,347.836
Democratic Republic of the Congo,181.4,167.7,177.5,157.7,117.3,110.6,47.1,67757.577,2911.849
Denmark,8.7,3.7,4.1,3.3,7.2,3.1,2.4,5572.594,63.674
Djibouti,121.6,89.5,94.9,83.9,94.2,71.8,32.9,905.564,26.031
Dominica,17.4,11.8,12.9,10.7,14.1,10.7,8.4,67.675,_
Dominican Republic,58.3,24.7,26.5,22.8,45.2,20.9,13.8,10056.181,215.528
Ecuador,52.4,22.8,25,20.5,40.8,19.6,10.2,14666.055,297.868
Egypt,85.7,21.1,22.4,19.8,62.9,18,7.4,82536.77,1885.631
El Salvador,60.2,15.2,16.8,13.5,46.5,13.1,6.3,6227.491,125.686
